"LOCATIONID","LOCATIONNAME","ZONELEVELID"
"0-EU-ES-08-13-001-019-08-008","Porta",8
"0-EU-ES-08-13-001-019-09-001","La Trinitat Vella",8
"0-EU-ES-08-13-001-019-09-003","Baró de Viver",8
"0-EU-ES-08-13-001-019-10-010","Sant Martí de Provençals",8
"0-EU-ES-08-13-001-019-03-005","La Marina del Port",8
"0-EU-ES-08-13-001-019-03-008","La Marina del Prat Vermell",8
"0-EU-ES-08-13-001-019-04-003","Pedralbes",8
"0-EU-ES-08-13-001-019-05-001","Vallvidrera - El Tibidabo i les Planes",8
"0-EU-ES-08-13-001-019-06-003","La Salut",8
"0-EU-ES-08-13-001-019-06-005","Vallcarca i els Penitents",8
"0-EU-ES-08-13-001-019-07-006","El Baix Guinardó",8
"0-EU-ES-08-13-001-019-07-007","El Carmel",8
"0-EU-ES-08-13-001-019-08-002","Les Roquetes",8
"0-EU-ES-08-13-001-019-08-003","La Trinitat Nova",8
"0-EU-ES-08-13-001-019-10-001","El Camp de l'Arpa del Clot",8
"0-EU-ES-08-13-001-019-10-004","El Besòs",8
"0-EU-ES-08-13-001-019-10-007","Provençals del Poblenou",8
"0-EU-ES-08-13-001-019-10-009","Diagonal Mar i el Front Marítim del Poblenou",8
"0-EU-ES-08-13-001-019-01-004","El Raval",8
"0-EU-ES-08-13-001-019-02-005","La Sagrada Família",8
"0-EU-ES-08-13-001-019-03-003","La Bordeta",8
"0-EU-ES-08-13-001-019-05-003","Sant Gervasi - La Bonanova",8
"0-EU-ES-08-13-001-019-05-002","Sarrià",8
"0-EU-ES-08-13-001-019-05-004","Les Tres Torres",8
"0-EU-ES-08-13-001-019-03-006","La Font de la Guatlla",8
"0-EU-ES-08-13-001-019-06-001","El Camp d'En Grassot i Gràcia Nova",8
"0-EU-ES-08-13-001-019-06-002","Vila de Gràcia",8
"0-EU-ES-08-13-001-019-03-009","Zona Franca - Port",8
"0-EU-ES-08-13-001-019-08-005","Verdun",8
"0-EU-ES-08-13-001-019-08-006","La Prosperitat",8
"0-EU-ES-08-13-001-019-03-004","Hostafrancs",8
"0-EU-ES-08-13-001-019-07-004","La Vall d'Hebron - La Clota",8
"0-EU-ES-08-13-001-019-09-002","Sant Andreu",8
"0-EU-ES-08-13-001-019-10-002","El Clot",8
"0-EU-ES-08-13-001-019-08-001","Ciutat Meridiana - Torre Baró - Vallbona",8
"0-EU-ES-08-13-001-019-05-005","Sant Gervasi - Galvany",8
"0-EU-ES-08-13-001-019-10-003","La Verneda i la Pau",8
"0-EU-ES-08-13-001-019-01-001","La Barceloneta",8
"0-EU-ES-08-13-001-019-01-002","Sant Pere - Santa Caterina i la Ribera",8
"0-EU-ES-08-13-001-019-09-007","La Sagrera",8
"0-EU-ES-08-13-001-019-08-004","La Guineueta",8
"0-EU-ES-08-13-001-019-01-003","El Gòtic",8
"0-EU-ES-08-13-001-019-04-001","Les Corts",8
"0-EU-ES-08-13-001-019-08-009","Vilapicina i la Torre Llobeta",8
"0-EU-ES-08-13-001-019-07-003","La Teixonera",8
"0-EU-ES-08-13-001-019-04-002","La Maternitat i Sant Ramon",8
"0-EU-ES-08-13-001-019-08-007","Can Peguera - El Turó de la Peira",8
"0-EU-ES-08-13-001-019-05-006","El Putxet i el Farró",8
"0-EU-ES-08-13-001-019-09-006","Navas",8
"0-EU-ES-08-13-001-019-09-004","El Bon Pastor",8
"0-EU-ES-08-13-001-019-10-008","El Poblenou",8
"0-EU-ES-08-13-001-019-10-005","El Parc i la Llacuna del Poblenou",8
"0-EU-ES-08-13-001-019-09-005","El Congrés i els Indians",8
"0-EU-ES-08-13-001-019-10-006","La Vila Olímpica del Poblenou",8
"0-EU-ES-08-13-001-019-02-001","La Nova Esquerra de l'Eixample",8
"0-EU-ES-08-13-001-019-02-002","L'Antiga Esquerra de l'Eixample",8
"0-EU-ES-08-13-001-019-02-003","Sant Antoni",8
"0-EU-ES-08-13-001-019-02-004","La Dreta de l'Eixample",8
"0-EU-ES-08-13-001-019-02-006","El Fort Pienc",8
"0-EU-ES-08-13-001-019-03-001","Sants - Badal",8
"0-EU-ES-08-13-001-019-03-002","Sants",8
"0-EU-ES-08-13-001-019-06-004","El Coll",8
"0-EU-ES-08-13-001-019-07-001","Sant Genís Dels Agudells - Montbau",8
"0-EU-ES-08-13-001-019-07-002","Horta",8
"0-EU-ES-08-13-001-019-07-005","El Guinardó",8
"0-EU-ES-08-13-001-019-07-008","La Font d'En Fargues",8
"0-EU-ES-08-13-001-019-07-009","Can Baró",8
"0-EU-ES-08-13-001-019-03-007","El Poble Sec - Parc de Montjuïc",8
"0-EU-ES-08-13-001-019-08-010","Canyelles",8
